id,date,ndvi_avg,value,variety,measurement_unit,date_stamp,metadata,time_stamp,state,metadata,full_name,name,geometry
90214,2019-08-24,0.5811067349814153,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
90214,2019-08-19,0.6379094497349085,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
90214,2019-08-14,0.6564570721893989,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
90214,2019-08-09,0.590928872634118,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
90214,2019-08-04,0.6053900196910832,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
90214,2019-07-25,0.7057307243118031,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
90214,2019-07-20,0.656662398645468,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
90214,2019-07-10,0.6485435136393866,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
90214,2019-07-05,0.6919254476916444,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
90214,2019-06-25,0.6877965146182019,3581.158766,{},Kg/Ha,2019-09-19,,,"{'area': 6.530601, 'year_of_planting': ['2019'], 'variety': ['hass, fuerte, zutano']}","[{'level_name': 'empresa', 'name': 'agricola chapi', 'level': 2}, {'level_name': 'fundo', 'name': 'don ernesto', 'level': 1}, {'level_name': 'grupo', 'name': 'pal-1', 'level': 0}, {'level_name': 'lote', 'name': '36', 'level': -1}]",lote AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,AGRICOLA CHAPI.DON ERNESTO.PAL-1.36,"POLYGON ((-75.6396578867764 -14.19970133595172, -75.64231663022875 -14.20062882414364, -75.64298408105815 -14.1988025717213, -75.64032613621433 -14.19787640144322, -75.6396578867764 -14.19970133595172))"
